id,in,out,start,end,duration,text
0,1430,1480,36,86,2880,My name is Andrea Chinguel Labán.
1,1480,1568,112,200,2880,It was at the time of one of Fujimori’s campaigns
2,1554,1627,200,273,2880, that we were sterilised.
3,1554,1638,291,375,2880,One reason for it was that I already had my daughters
4,1554,1611,386,443,2880,and I went to check their weight
5,1611,1688,443,520,2880,and there the nurses told us
6,1548,1591,528,571,2880,to get ourselves sterilised.
7,1585,1634,579,628,2880,"And we were sterilised,"
8,1558,1623,628,693,2880,they took us to the hospital
9,1551,1598,709,756,2880,and did the operation
10,1598,1670,756,828,2880,and we didn’t know that it would affect us like this.
11,1554,1627,851,924,2880,"And now we feel weak, "
12,1554,1618,924,988,2880,"our stomachs hurt, our tummies,"
13,1618,1657,988,1027,2880,our heads sometimes
14,1554,1619,1053,1118,2880,and now we can’t work anymore. 
