id,in,out,start,end,duration,text
0,1314,1368,180,234,2880,I’m from Ñangali village.  
1,1368,1468,234,334,2880,The nurses came from down there to look at us. 
2,1444,1492,334,382,2880," I didn’t want to,"
3,1505,1572,395,462,2880,but my husband said it was ok but
4,1505,1535,462,492,2880,I didn’t want to. 
5,1535,1589,492,546,2880,"But he wanted to and they insisted,"
6,1505,1598,556,649,2880,they told me I could only have two children. 
7,1505,1568,670,733,2880,"So I forced myself to do it, "
8,1568,1634,733,799,2880,"they took us away, they took us down there."
9,1505,1572,849,916,2880,When I saw them coming
10,1505,1591,931,1017,2880,I felt nervous and my arms were trembling like this.
11,1505,1544,1040,1079,2880,"I was the last one, "
12,1544,1630,1079,1165,2880,they already finished with everyone else
13,1505,1540,1165,1200,2880,and I was the last one. 
14,1540,1630,1225,1315,2880,Everyone was leaving and I stayed behind.
15,1505,1556,1334,1385,2880,Then they made me take off my clothes
16,1556,1623,1385,1452,2880,"I took them off twice and put them back on,"
17,1623,1647,1452,1476,2880,I was embarrassed.
18,1505,1567,1486,1548,2880,"When they grabbed me, and told me to undress quickly,"
19,1505,1580,1548,1623,2880,they took me and three of them held my arms
20,1505,1546,1623,1664,2880,so they could give me the injection.
21,1552,1576,1670,1694,2880,And then
22,1501,1576,1706,1781,2880,I remember that I was like that on the table
23,1576,1608,1781,1813,2880,and they were doing the...
24,1505,1572,1813,1880,2880,"I looked up and saw there was blood dripping,"
25,1505,1563,1880,1938,2880,the nurses and then it seems I fell (asleep).
26,1558,1642,1945,2029,2880,"I was there for the day, that’s what happened to us, "
27,1505,1585,2039,2119,2880,"we were in the beds and I was sharing with another woman,"
28,1505,1531,2119,2145,2880,and I just couldn’t.
29,1531,1607,2145,2221,2880,"It was so tiring with my hands behind me and I couldn’t bear it,"
30,1505,1533,2221,2249,2880,I was crying.
31,1533,1587,2249,2303,2880,"There were so many people there,"
32,1587,1632,2303,2348,2880,but they gave me to just one person. 
33,1505,1575,2374,2444,2880, Then the next day they threw us out 
34,1575,1609,2444,2478,2880,said we should leave.
35,1511,1563,2484,2536,2880,"We couldn’t even walk, "
36,1568,1643,2541,2616,2880,"we had to call out to people to ask them to carry us,"
37,1643,1730,2616,2703,2880,and they carried us downhill from the clinic
38,1505,1551,2703,2749,2880,because it was impossible to go up the hill.
39,1551,1623,2749,2821,2880,I had to walk holding on holding on until I got here. 
40,1499,1569,2829,2899,2880,"This is what happened to us, "
41,1547,1627,2922,3002,2880,"I said thank God for bringing us through it, "
42,1505,1568,3011,3074,2880,for not giving us more children.
43,1502,1546,3092,3136,2880,"But it wasn’t like that, "
44,1546,1604,3136,3194,2880,"it was more like an illness,"
45,1505,1577,3204,3276,2880,we couldn’t walk afterwards to go to the fields
46,1505,1590,3285,3370,2880,"to harvest the corn, to carry it on our shoulders,"
47,1505,1566,3397,3458,2880,"we can’t do that anymore, "
48,1566,1610,3458,3502,2880,"and we want, God willing,"
49,1610,1651,3502,3543,2880,to get a bit of help and 
50,1501,1552,3553,3604,2880,for them to support us so we can
51,1552,1676,3622,3746,2880,"live quietly and work, but there’s been nothing. "
52,1505,1541,3746,3782,2880,"Maybe it’s thanks to God "
53,1548,1625,3789,3866,2880,"that the women are here, and we’re very grateful to them,"
54,1505,1614,3876,3985,2880,"that they’ve come here to see people,"
55,1505,1568,4001,4064,2880,that they want to support us. 
56,1505,1579,4110,4184,2880,Mrs Josefa 
57,1502,1558,4196,4252,2880,"is always coming to see us,"
58,1558,1649,4279,4370,2880,Sometimes one doesn't know and doesn't go
59,1649,1760,4370,4481,2880,but I’ll do what I can to go to the meeting and listen.
60,1505,1572,4501,4568,2880,And that's it and I'm from the village of Ñangali. 
61,1505,1543,4568,4606,2880,There are many of us. 
62,1540,1583,4626,4669,2880,We hope there will be support. 
63,1583,1612,4669,4698,2880,Thank you ladies.
