id,in,out,start,end,duration,text
0,1338,1357,95,114,2880,Hello.
1,1360,1418,117,175,2880,I want to give my testimony. 
2,1418,1487,175,244,2880,I come from the province of Huancabamba.
3,1495,1540,252,297,2880,I'm the husband of …
4,1540,1623,297,380,2880,"My wife's name is Julia Isabel Zurita Santos,"
5,1542,1629,380,467,2880, her ID number is ---.
6,1540,1617,476,553,2880,I want to tell a testimony about …
7,1540,1638,561,659,2880,"around the year 1995, "
8,1609,1722,671,784,2880,"there was a sterilisation campaign for men and women,"
9,1540,1590,784,834,2880, during Fujimori's period.
10,1590,1653,843,906,2880,"Well, the health promoters of Huancabamba's hospital "
11,1540,1610,906,976,2880,"came to my house because they were on campaign, "
12,1610,1682,986,1058,2880,so they started by convincing me
13,1540,1602,1058,1120,2880,to get a vasectomy.
14,1602,1621,1120,1139,2880,So I...
15,1540,1598,1139,1197,2880,Back then I had my two children. 
16,1598,1676,1203,1281,2880,"The following problem, that finally convinced us,"
17,1540,1639,1288,1387,2880,"was that my wife had problems with her breasts,"
18,1540,1601,1387,1448,2880,"they got swollen,"
19,1605,1646,1452,1493,2880,inflamed.
20,1540,1583,1502,1545,2880,So a doctor told me: 
21,1583,1623,1545,1585,2880,"'Son' he told me, 'you know what? "
22,1623,1678,1585,1640,2880,Your wife has beginnings of cancer. 
23,1540,1627,1640,1727,2880,"If by any chance your wife conceives another child,"
24,1627,1671,1727,1771,2880,"if she gets pregnant by mistake,"
25,1540,1602,1780,1842,2880,there is danger that she will die
26,1602,1654,1842,1894,2880,and you will be left abandoned with your children.
27,1540,1607,1894,1961,2880,"So it would be better to sterilise her,"
28,1607,1650,1961,2004,2880,so that you don't have any problems 
29,1648,1747,2017,2116,2880,with your wife in case she gets breast cancer.'
30,1540,1588,2121,2169,2880,"Well, they convinced me "
31,1588,1661,2169,2242,2880,and forced me to sign some consent documents
32,1661,1729,2242,2310,2880,so that my wife could be sterilised. 
33,1540,1645,2334,2439,2880,"Well, so everything was done ok. "
34,1540,1595,2445,2500,2880,"But after a while my wife, "
35,1595,1627,2500,2532,2880,"because we are farmers,"
36,1540,1591,2538,2589,2880,"while making her country exercise, "
37,1591,1623,2589,2621,2880,because we carry wood 
38,1540,1630,2627,2717,2880,"and food from far away on our backs,"
39,1630,1667,2717,2754,2880,"we strain ourselves,"
40,1540,1572,2754,2786,2880,the roads are very bumpy...
41,1575,1660,2789,2874,2880,"my wife started having menstrual bleedings, "
42,1540,1665,2880,3005,2880,up to two or three times per month.
43,1539,1572,3016,3049,2880,She menstruated 3 times a month.
44,1573,1683,3054,3164,2880,"As time passed, things seemed to be getting better. "
45,1540,1606,3171,3237,2880,"Now my wife, because she is 46,"
46,1606,1640,3237,3271,2880,"she will be 46 in April,"
47,1540,1618,3277,3355,2880,she is having problems again. 
48,1618,1691,3355,3428,2880,"Now she menstruates every 4 or 3 months,"
49,1540,1612,3428,3500,2880,but with a very heavy flow.
50,1612,1628,3505,3521,2880,So
51,1540,1599,3537,3596,2880,that is what worries me.
52,1599,1671,3600,3672,2880,"The health service, the doctors"
53,1540,1611,3672,3743,2880,"Haven't done what they offered,"
54,1611,1718,3743,3850,2880,"that whoever was sterilised would get economic aid,"
55,1540,1592,3850,3902,2880,if their health was affected.
56,1592,1665,3902,3975,2880,So far we haven't been able to get anything. 
57,1540,1647,3981,4088,2880,My wife is also affiliated to
58,1540,1585,4088,4133,2880,the AMHBA (local women's organisation).
59,1592,1640,4140,4188,2880,"Hopefully they,"
60,1640,1685,4188,4233,2880,"by fighting little by little, "
61,1545,1595,4233,4283,2880,"and by getting together,"
62,1601,1664,4289,4352,2880,maybe will get something
63,1531,1579,4352,4400,2880,for their economic support.
64,1579,1663,4400,4484,2880,"Not so much because one needs it too badly, "
65,1540,1590,4484,4534,2880,because as a farmer
66,1590,1648,4534,4592,2880,one knows how to survive anyway.   
67,1540,1604,4592,4656,2880,One has to know how to do everything.
68,1604,1647,4656,4699,2880," At least in times like these,"
69,1540,1618,4699,4777,2880,"one has to take many adventures to know how to earn money,"
70,1615,1699,4777,4861,2880,and be able to have what's necessary for his home.
71,1540,1581,4861,4902,2880,"I as a farmer,"
72,1581,1664,4902,4985,2880,am always left bereaved
73,1540,1585,4985,5030,2880,"by the false offerings,"
74,1585,1619,5030,5064,2880,but what can we do?
75,1540,1610,5064,5134,2880,"Sometimes when governments don't care about us, "
76,1610,1649,5134,5173,2880,"authorities don't care,"
77,1540,1598,5173,5231,2880,we have to conform by ourselves.
78,1598,1636,5231,5269,2880,That is everything I had to inform.
79,1540,1615,5269,5344,2880,"My name is Alejandro Cesar Herrera, "
80,1615,1717,5344,5446,2880,my ID number is ---.
81,1552,1596,5462,5506,2880,I'm 52 years of age.
82,1596,1649,5506,5559,2880,My wife will be 46 in April
83,1545,1614,5564,5633,2880,"and that is everything I had to inform at the moment, "
84,1614,1663,5633,5682,2880,and I thank you for the attention and
85,1540,1659,5682,5801,2880,"hopefully these testimonies will not only be heard in Huancabamba,"
86,1540,1588,5801,5849,2880,but also in other places
87,1588,1689,5849,5950,2880,so that maybe there won't be this consent again.
88,1540,1605,5950,6015,2880,"Because very innocently, they caught us,"
89,1605,1667,6015,6077,2880,like a little fish in a net.
90,1540,1599,6080,6139,2880,"So I thank you for your attention,"
91,1599,1643,6139,6183,2880,and that is all that I had to inform.
92,1643,1668,6183,6208,2880,Thank you.
