id,in,out,start,end,duration,text
0,1388,1523,109,244,3000,To give my testimony about what they did...
1,1382,1483,244,345,3000,In 96 I was sterilised. 
2,1382,1447,345,410,3000,I came to the Jicati Medical Centre 
3,1348,1484,410,546,3000,and there they tricked me and brought me to the hospital in Huancabamba. 
4,1382,1501,546,665,3000,"They took a little blood from my finger, "
5,1382,1538,665,821,3000,"put me in a bed and then they did the operation on me, "
6,1382,1441,821,880,3000,I remember it was at  7 o'clock in the evening. 
7,1382,1474,880,972,3000,"The next day they took me in a van, "
8,1382,1450,980,1048,3000,and threw me out in Nangali. 
9,1354,1434,1048,1128,3000,From there it took me  3 days to struggle home. 
10,1382,1491,1128,1237,3000,Then I became ill and I'm still ill today.  
11,1382,1441,1237,1296,3000,I can't do anything. 
12,1382,1456,1296,1370,3000,I was abandoned by my husband and my children.
13,1382,1447,1370,1435,3000,"I am too poor to send them to school, "
14,1359,1431,1435,1507,3000, so 3 of them left and went to the jungle. 
15,1382,1455,1507,1580,3000,Only one of them supports me. 
16,1382,1432,1580,1630,3000,"I'm very sick, "
17,1382,1437,1630,1685,3000, I can't do anything. 
18,1382,1459,1685,1762,3000,"The sterilisation operation has reduced me to this,"
19,1382,1466,1762,1846,3000,I am useless.  
20,1382,1574,1846,2038,3000,My children and my husband abandoned me because of the operation. 
