id,in,out,start,end,duration,text
0,1602,1666,63,127,2880,"My name is Benita Ticlahuanca"
1,1554,1595,148,189,2880,from Rodriguez de Mendoza.
2,1595,1730,233,368,2880,"They forced me to have the operation, "
3,1550,1589,372,411,2880,I had two little daughters.
4,1589,1663,431,505,2880,"I was tricked, they said I was going to die"
5,1554,1616,514,576,2880,"because, because I’m a single mother"
6,1616,1666,589,639,2880, and I was an orphan.
7,1554,1605,649,700,2880,I managed to escape
8,1613,1641,708,736,2880,"three times, "
9,1552,1594,736,778,2880,but they kept pursuing me.
10,1595,1652,789,846,2880,"One day they came in, "
11,1546,1597,846,897,2880,"they blocked the door and came looking for me, "
12,1615,1640,897,922,2880,there in my house… 
13,1558,1593,922,957,2880,what had I done? 
14,1590,1661,968,1039,2880,"And so, they found me after that third time. "
15,1554,1621,1051,1118,2880,"They told me what the sterilization operation was, "
16,1621,1668,1118,1165,2880,"saying, why should I want more children, "
17,1554,1621,1173,1240,2880,"that two were enough, no more."
18,1596,1639,1253,1296,2880,And then they forced me. 
19,1554,1598,1309,1353,2880,I came to Huancabamba’s hospital. 
20,1598,1728,1385,1515,2880,"And they told me they would give me food supplies,"
21,1728,1755,1515,1542,2880,"medicine,"
22,1755,1806,1542,1593,2880," but well, at the end it wasn’t like that."
23,1554,1610,1607,1663,2880,"And, I was tired,"
24,1610,1648,1663,1701,2880," with the pain,"
25,1554,1597,1710,1753,2880,"and, I didn’t have my mum,"
26,1597,1653,1753,1809,2880, I was abandoned with my daughters
27,1554,1589,1809,1844,2880,there wasn’t anyone to clean them. 
28,1589,1643,1858,1912,2880,"And now I live in sickness, "
29,1554,1618,1931,1995,2880,"and where they did the operation, it still hurts,"
30,1618,1653,1995,2030,2880, I can’t even walk.
31,1554,1647,2052,2145,2880,And it is hard to support myself 
32,1554,1606,2158,2210,2880,because I’m orphan and alone... 
33,1606,1684,2236,2314,2880,they forced me to have the operation.
34,1553,1598,2345,2390,2880,"my children are far away now,"
35,1595,1635,2394,2434,2880,"even they abandoned me,"
36,1554,1629,2434,2509,2880,and I can’t work to support myself.
37,1554,1642,2560,2648,2880,"That’s why I say it would be better if I died before reaching old age."
38,1554,1615,2659,2720,2880,"I don’t remember how old I am,"
39,1615,1677,2720,2782,2880,"I’m illiterate, I haven’t had one day of school."
40,1554,1609,2817,2872,2880,"And maybe,"
41,1609,1682,2882,2955,2880," if someone wants to, they could try to help us out a bit, maybe. "
42,1554,1601,3012,3059,2880,"That was my word,"
43,1601,1647,3059,3105,2880,I wanted to give my testimony.
