id,in,out,start,end,duration,text
0,1553,1641,3,91,2880,My name is Cruz Alberca Carrasco. I live in Cascapampa.
1,1554,1614,181,241,2880,I live in the village of Cascapampa.
2,1614,1691,264,341,2880,"So, the story of how the government came "
3,1691,1762,341,412,2880,"to do this to us, the operation to sterilize us. "
4,1554,1627,423,496,2880,"We can’t do  anything anymore,"
5,1554,1594,512,552,2880,"we are sick,"
6,1594,1634,552,592,2880,we are just asking
7,1552,1635,598,681,2880,"the government to help us, just to add their grain of sand,"
8,1560,1608,681,729,2880,because we are hurting.
9,1605,1681,735,811,2880,"Our belly hurts, our abdomen hurts, our waist."
10,1681,1716,811,846,2880,We can't work
11,1554,1612,846,904,2880,our sight is going.
12,1612,1655,918,961,2880,What can we do now?
13,1652,1710,961,1019,2880,"Just help us a little, add a grain of sand."
14,1554,1628,1028,1102,2880,"Because they all came,  lying to us,"
15,1553,1593,1113,1153,2880,"saying they would give us something,"
16,1593,1636,1157,1200,2880,"medicine, food supplies, "
17,1554,1601,1209,1256,2880,that’s what they said.
18,1532,1632,1259,1359,2880,That’s what they said but now they don't give anything. 
19,1554,1618,1370,1434,2880,"Now we want help from the government,"
20,1618,1674,1434,1490,2880,"because now we can't work,"
21,1554,1599,1510,1555,2880,at our age…
22,1599,1708,1569,1678,2880,"I’m  53 now, and I can't work anymore."
23,1554,1596,1684,1726,2880,That’s what we want: help.
24,1596,1645,1729,1778,2880,Everything they said was a lie. 
25,1584,1691,1820,1927,2880,We want Ollanta Humala’s government
26,1554,1629,1927,2002,2880,"to help us out, to add just a grain of sand"
27,1554,1634,2002,2082,2880,because we can't do anything anymore. 
28,1554,1611,2088,2145,2880,"You could say we are useless now. "
29,1610,1704,2169,2263,2880,That’s why we want help from the government.
30,1554,1601,2296,2343,2880,We can’t do anything anymore.
31,1601,1712,2343,2454,2880,"The government told us lies, "
32,1554,1619,2454,2519,2880,it isn't giving us anything.
33,1554,1601,2545,2592,2880,"That’s what we want now,"
34,1601,1689,2633,2721,2880,we ask for justice to be done.
35,1554,1611,2729,2786,2880,That’s what we ask for.
