id,in,out,start,end,duration,text
0,1388,1447,21,80,3000,My name is Cesilia Pena Guerrero 
1,1388,1497,80,189,3000,"from Ingano Grande village, in Sondorillo. "
2,1388,1526,269,407,3000,I was sterilized when my daughter was one month old. 
3,1388,1472,407,491,3000,"I went  to the medical centre to register her, "
4,1388,1538,491,641,3000,and they wouldn't give me the paperwork I needed to register her in Sondorillo. 
5,1388,1498,641,751,3000,"They didn't give it to me, "
6,1388,1497,751,860,3000,"they said that I should be sterilised, "
7,1388,1512,860,984,3000,or that my husband should be sterilised. 
8,1388,1460,984,1056,3000,But he didn't want to. 
9,1388,1502,1056,1170,3000,"They said it was harder to get men to have the surgery, "
10,1375,1472,1170,1267,3000,that it was better if they sterilized me instead. 
11,1388,1432,1267,1311,3000,I didn' want to. 
12,1392,1463,1311,1382,3000,"I was afraid, "
13,1399,1471,1382,1454,3000,afraid of the operation. 
14,1388,1488,1527,1627,3000,And so they encouraged me. 
15,1388,1499,1627,1738,3000,They said they would help us out.
16,1388,1494,1750,1856,3000,"And then they brought us to Huancabamba, "
17,1388,1456,1856,1924,3000,and I had the surgery there.
18,1388,1471,1924,2007,3000,"But they never remembered the promises they made, "
19,1388,1461,2007,2080,3000,"we have received nothing, nothing. "
20,1388,1481,2080,2173,3000,"And that's why we are here now, "
21,1388,1462,2173,2247,3000,"us and other other ladies here, "
22,1388,1539,2247,2398,3000,we want some help so that we can support ourselves. 
23,1388,1554,2411,2577,3000,My children are at school and I can hardly work. 
24,1388,1504,2598,2714,3000,"My belly hurts, my brain hurts, my head hurts. "
25,1388,1444,2714,2770,3000,I don't live well.     
