id,in,out,start,end,duration,text
0,1327,1432,28,133,2880,"Well, my name is Esperanza Huayama Aguirre, "
1,1432,1473,133,174,2880,"from the village of Rodeo Pampa, "
2,1473,1513,174,214,2880,very far away from here.
3,1513,1553,214,254,2880,Well I …
4,1563,1774,263,474,2880,"they took several of us to the policlinic,"
5,1827,1972,474,619,2880,they gathered more than a hundred women there 
6,1972,2051,619,698,2880,"that day when that committee came, "
7,2051,2171,698,818,2880,it was like being in a prison.
8,2051,2107,818,874,2880,"They closed the gate,  "
9,2107,2237,874,1004,2880,and when some women saw how others were crying with the pain
10,2051,2102,1004,1055,2880,"they wanted to leave, "
11,2040,2103,1055,1118,2880,but we were already inside and they wouldn't let us leave. 
12,2151,2236,1118,1203,2880,They took me inside 
13,2236,2353,1203,1320,2880,and then they brought me to do the sterilisation 
14,2353,2428,1320,1395,2880,and gave me the anaesthetic. 
15,2428,2489,1395,1456,2880,I was just falling asleep 
16,2489,2552,1456,1519,2880,as they started cutting me 
17,2552,2590,1519,1557,2880,and it hurt …
18,2587,2678,1557,1648,2880,I heard them saying 
19,2678,2754,1648,1724,2880,'she's is pregnant'
20,2678,2711,1724,1757,2880,"Then I, "
21,2711,2852,1757,1898,2880,"because God didn't want my baby to die at that moment, "
22,2711,2780,1898,1967,2880,"I said to them: 'I don't want you to remove my baby, "
23,2780,2867,1967,2054,2880,"I'd rather die with my baby, "
24,2821,2880,2054,2113,2880,leave my baby there.'
