id,in,out,start,end,duration,text
0,1327,1432,28,133,2880,"Bueno, mi nombre es Esperanza Huayama Aguirre"
1,1432,1473,133,174,2880,"del caserio de Rodeo Pampa, "
2,1473,1513,174,214,2880,bien lejos. 
3,1513,1553,214,254,2880,Bueno yo...
4,1563,1674,263,374,2880,a varias amigas tambien 
5,1674,1739,374,439,2880,nos hicieron en el
6,1792,1827,439,474,2880,policlinico
7,1827,1972,474,619,2880,"nos hemos reunido cerca de, mas de 100 mujeres"
8,1972,2051,619,698,2880,un dia de que habia venido la comision
9,2051,2171,698,818,2880,"y alli nos tenian muy, muy aprisionadas,"
10,2051,2093,818,860,2880,"cerraron el porton,  "
11,2093,2251,860,1018,2880,"y de ahi unas de ver que las senoras, otras lloraban con el dolor"
12,2051,2151,1018,1118,2880,y ya querian salir y ya entramos y ya no nos dejaban salir.
13,2151,2236,1118,1203,2880,Ahi ya tambien a mi ya me llevaron 
14,2236,2353,1203,1320,2880,y de ahi me pasaron tambien a hacerme la ligacion
15,2353,2428,1320,1395,2880,y me pusieron la anestesia.
16,2428,2494,1395,1461,2880,Poquito me quise dormir y ahi 
17,2494,2552,1461,1519,2880,rapidito me cortaban
18,2552,2590,1519,1557,2880,y yo me dolia.
19,2587,2678,1557,1648,2880,Entonces yo escuche que dijeron
20,2678,2754,1648,1724,2880,la senora esta en estado dijeron.
21,2678,2711,1724,1757,2880,Entonces yo
22,2711,2852,1757,1898,2880,"como que Dios no queria que mi hijito en ese momento muera, "
23,2711,2780,1898,1967,2880,"yo le dije: 'yo no quiero que lo saquen a mi hijito,"
24,2780,2867,1967,2054,2880,prefiero mejor yo morir junto con mi hijito
25,2821,2880,2054,2113,2880,y mi hijito no me lo van a sacar.'
