id,in,out,start,end,duration,text
0,2711,2775,21,85,2880,"I woke up with tremendous pain, "
1,2775,2838,85,148,2880,the IV line had come out of my arm. 
2,2823,2880,148,205,2880,"Me with tremendous pain, "
3,2760,2880,205,325,2880,and they threw us out and told us we all had to go home.
4,2760,2866,325,431,2880,"I was 3 months pregnant when they did it, "
5,2719,2810,431,522,2880,I suffered with my little child like this 
6,2810,2863,522,575,2880,until 7 months.
7,2698,2746,575,623,2880,"I wasn't at all well, "
8,2746,2794,623,671,2880,the belly was very swollen 
9,2740,2801,671,732,2880,"and the doctor was checking on me,"
10,2736,2822,732,818,2880,and he told me it was better if I went to Piura 
11,2822,2879,818,875,2880,because here they wouldn't be able to...
12,2808,2880,875,947,2880,"I went to say goodbye to my children,"
13,2805,2880,947,1022,2880, I had 7 small children.
14,2764,2835,1022,1093,2880, I said goodbye to them to go to Piura
15,2797,2864,1093,1160,2880,"They took me to my village, Rodeo Pampa"
16,2789,2880,1160,1251,2880,around 1 in the morning 
17,2789,2880,1260,1351,2880,I woke up with a tremendous pain and
18,2822,2871,1383,1432,2880,I stood up 
19,2799,2880,1432,1513,2880,"and huge gush of blood came out of me, "
20,2799,2832,1513,1546,2880,like a haemorrhage.
21,2799,2817,1546,1564,2880,And …
22,2790,2842,1575,1627,2880,"around 6, 7 in the morning, "
23,2831,2875,1627,1671,2880,"I don't remember much, "
24,2791,2880,1671,1760,2880,but the midwife had already helped me give birth. 
25,2791,2839,1760,1808,2880,"My son died, "
26,2839,2879,1808,1848,2880,and I was really unwell 
27,2801,2880,1848,1927,2880,and I'm still really unwell. 
