id,in,out,start,end,duration,text
0,2711,2770,21,80,2880,"Me desperte con tremendo dolor, "
1,2770,2838,80,148,2880,"el suero ya se me habia zafado del brazo,"
2,2823,2880,148,205,2880,"yo tremendo dolor que me,"
3,2760,2880,205,325,2880,y ya nos sacaron. Dijeron que ya cada uno tiene que ir a su casa
4,2760,2857,325,422,2880,yo por mi parte habia estado en un estado de tres meses
5,2710,2797,422,509,2880,con mi hijito ahi sufri hasta los...
6,2797,2863,509,575,2880,fue de... 7 meses
7,2698,2777,575,654,2880,"ya no estaba bien, hinchadisima la barriga "
8,2777,2850,654,727,2880,"y el doctor que estaba controlandome, me dice que"
9,2731,2824,727,820,2880,podia hacer un viaje mejor a Piura
10,2824,2879,820,875,2880,que aca no me iban a poder...
11,2792,2880,875,963,2880,"me fui a despedirme de mis hijitos, que mis hijitos,"
12,2821,2880,963,1022,2880,tenia pequenos siete hijitos 
13,2805,2861,1022,1078,2880,para despedirme para irme a Piura.
14,2764,2843,1078,1157,2880,Me llevaron a mi caserio que era Rodeo Pampa y
15,2786,2880,1157,1251,2880,de alli ya como a la 1 de la manana
16,2780,2880,1251,1351,2880,me desperte con tremendo dolor y ahi ya
17,2822,2871,1383,1432,2880,yo que me paro y
18,2799,2880,1432,1513,2880,"me bajo tremendo pocazo de sangre,"
19,2799,2832,1513,1546,2880, como hemorragia. 
20,2799,2817,1546,1564,2880,Y...
21,2790,2842,1575,1627,2880,"como a las 6, 7 de la manana"
22,2831,2865,1627,1661,2880,ya no me acuerdo mucho
23,2781,2880,1661,1760,2880,bien la partera ya me habia hecho dar a luz. 
24,2791,2837,1760,1806,2880,"Bueno mi hijito el murio, "
25,2837,2879,1806,1848,2880,yo me he quedado bien mal
26,2801,2880,1848,1927,2880," y hasta ahora estoy mal, mal."
