id,in,out,start,end,duration,text
0,2802,2880,30,108,2880,"This is why us peasant women, "
1,2802,2862,108,168,2880,because we were illiterate
2,2825,2878,168,221,2880,they did what they wanted to us.
3,2802,2873,221,292,2880,But now we say that these things 
4,2783,2880,292,389,2880,that have damaged all the women in this area
5,2783,2871,389,477,2880,must not happen again. 
6,2814,2880,490,556,2880,The women feel awful.
7,2805,2880,571,646,2880,And we have this experience 
8,2765,2864,646,745,2880,and we won't allow other young women 
9,2721,2803,745,827,2880,"to go through it,"
10,2792,2880,827,915,2880,we won't allow this to happen again. 
11,2797,2843,915,961,2880,That is why 
12,2762,2880,969,1087,2880,we are asking for women's rights. 
13,2762,2793,1087,1118,2880,Thank you. 
