id,in,out,start,end,duration,text
0,2802,2880,30,108,2880,"Por eso nosotros las mujeres campesinas,"
1,2802,2862,108,168,2880,como hemos sido analfabetas
2,2825,2878,168,221,2880,"ellos han hecho lo que han querido,"
3,2785,2880,221,316,2880,pero ahora decimos nosotros que ya no se vuelva nuevamente
4,2791,2880,316,405,2880,a repetir esas cosas que han hecho
5,2799,2874,405,480,2880,danho a todas las mujeres de los distritos.
6,2814,2880,490,556,2880,"Las mujeres se sienten muy mal, "
7,2805,2880,571,646,2880,y eso nosotros tenemos una experiencia para
8,2765,2880,646,761,2880,nuevamente ver a las otras jovenes
9,2737,2794,761,818,2880,que ya no se dejen asi
10,2783,2880,818,915,2880,y no queremos que se vuelva a repetir esas cosas.
11,2797,2839,915,957,2880,Por eso nosotros
12,2762,2792,969,999,2880,pedimos
13,2801,2880,1008,1087,2880,que haya los derechos de nosotros de las mujeres.
14,2762,2793,1087,1118,2880,Gracias.
