id,in,out,start,end,duration,text
0,1327,1432,54,159,2880,"Well, my name is Esperanza Huayama Aguirre, "
1,1432,1473,159,200,2880,"from the village of Rodeo Pampa, "
2,1473,1513,200,240,2880,very far away from here.
3,1513,1553,240,280,2880,Well I …
4,1513,1633,302,422,2880,"when a committee  from Lima arrived, "
5,1513,1652,422,561,2880,many friends and I …
6,1563,1754,561,752,2880,"they took several of us to the policlinic,"
7,1827,1972,752,897,2880,they gathered more than a hundred women there 
8,1972,2051,897,976,2880,"that day when that committee came, "
9,2051,2171,976,1096,2880,it was like being in a prison.
10,2051,2107,1096,1152,2880,"They closed the gate,  "
11,2107,2237,1152,1282,2880,and when some women saw how others were crying with the pain
12,2051,2102,1282,1333,2880,"they wanted to leave, "
13,2040,2103,1333,1396,2880,but we were already inside and they wouldn't let us leave.   
14,2151,2249,1396,1494,2880,They took me inside 
15,2151,2273,1494,1616,2880,and drew blood from my finger for tests 
16,2236,2353,1616,1733,2880,and then they brought me to do the sterilisation 
17,2353,2428,1733,1808,2880,and gave me the anaesthetic. 
18,2428,2489,1808,1869,2880,I was just falling asleep 
19,2489,2552,1869,1932,2880,as they started cutting me 
20,2552,2590,1932,1970,2880,and it hurt …
21,2587,2678,1970,2061,2880,I heard them saying 
22,2678,2773,2061,2156,2880,'she's is pregnant'
23,2678,2711,2156,2189,2880,"Then I, "
24,2711,2852,2189,2330,2880,"because God didn't want my baby to die at that moment, "
25,2711,2780,2330,2399,2880,"I said to them: 'I don't want you to remove my baby, "
26,2780,2867,2399,2486,2880,"I'd rather die with my baby, "
27,2821,2879,2486,2544,2880,leave my baby there.'
28,2151,2245,2554,2648,2880,They put the anesthesia again 
29,2151,2209,2648,2706,2880,and after that I don't remember anything. 
30,2136,2232,2706,2802,2880,"I remember around 6 pm with a tremendous pain,"
31,2151,2243,2802,2894,2880,"that they had made us lie down head to feet, "
32,2151,2203,2894,2946,2880,2 in a single bed.
33,2742,2800,2946,3004,2880,"And I woke up with tremendous pain, "
34,2806,2868,3004,3066,2880,the IV line had come out of my arm. 
35,2831,2880,3066,3115,2880,"Me with tremendous pain, "
36,2757,2880,3115,3238,2880,and they threw us out and told us we all had to go home.
37,2151,2243,3250,3342,2880,And a lady that had also been cut badly 
38,2151,2247,3342,3438,2880,was sent to Piura and she had died in Piura. 
39,2151,2219,3452,3520,2880,And we ended up …
40,2760,2866,3520,3626,2880,"I was 3 months pregnant when they did it, "
41,2151,2218,3626,3693,2880, and until I was 7 months 
42,2151,2218,3693,3760,2880,"there was a doctor that checked on me, "
43,2151,2194,3760,3803,2880,his name was Guerrero. 
44,2151,2178,3803,3830,2880,"That doctor, "
45,2151,2268,3830,3947,2880,very angrily said that those doctors had come 
46,2151,2274,3947,4070,2880,and didn't make us healthy 
47,2151,2236,4070,4155,2880,but had made a damage by cutting our bellies. 
48,2151,2225,4155,4229,2880,"Some women had ended up really bad, "
49,2151,2250,4229,4328,2880,"and he kept checking on me every 3 days, "
50,2151,2189,4328,4366,2880,every 3 days. 
51,2151,2229,4366,4444,2880,"I spent a lot, "
52,2151,2274,4444,4567,2880,thank God my husband he got the money 
53,2151,2243,4567,4659,2880,so that I could be a bit better. 
54,2151,2255,4659,4763,2880,My belly had swollen and I used to sleep like sitting down
55,2719,2810,4763,4854,2880,I suffered with my little child like this 
56,2810,2863,4854,4907,2880,until 7 months.
57,2698,2746,4907,4955,2880,"I wasn't at all well, "
58,2746,2794,4955,5003,2880,the belly was very swollen 
59,2740,2801,5003,5064,2880,"and the doctor was checking on me,"
60,2736,2822,5064,5150,2880,and he told me it was better if I went to Piura 
61,2822,2879,5150,5207,2880,because here they wouldn't be able to
62,2794,2880,5395,5481,2880,"I went to say goodbye to my children,"
63,2805,2880,5481,5556,2880, I had 7 small children.
64,2764,2835,5556,5627,2880, I said goodbye to them to go to Piura
65,2797,2864,5627,5694,2880,"They took me to my village, Rodeo Pampa"
66,2789,2880,5694,5785,2880,around 1 in the morning 
67,2789,2880,5785,5876,2880,I woke up with a tremendous pain and
68,2799,2867,5912,5980,2880,I stood up 
69,2784,2861,5980,6057,2880,"and huge gush of blood came out of me, "
70,2799,2832,6057,6090,2880,like a haemorrhage.
71,2732,2880,6090,6238,2880,"And then with a midwife, "
72,2151,2228,6238,6315,2880,because in the countryside there are midwifes 
73,2151,2234,6315,6398,2880,"and they also fix our bellies, "
74,2151,2244,6398,6491,2880,until they brought me to Huancabamba. 
75,2151,2205,6505,6559,2880,And …
76,2790,2856,6603,6669,2880,"around 6, 7 in the morning, "
77,2831,2880,6669,6718,2880,"I don't remember much, "
78,2710,2810,6718,6818,2880,but the midwife had already helped me give birth. 
79,2081,2260,6818,6997,2880,They had seen him and pulled him out with the doctor. 
80,2789,2843,7005,7059,2880,"Well, my child he died,"
81,2839,2879,7059,7099,2880,and I was really unwell 
82,2801,2880,7099,7178,2880,and I'm still really unwell. 
83,2801,2864,7178,7241,2880,"It gets swollen when I make effort, "
84,2801,2847,7241,7287,2880,"my belly gets swollen,"
85,2801,2853,7287,7339,2880,my waist hurts. 
86,2801,2865,7339,7403,2880,I can't go to the country anymore 
87,2795,2880,7403,7488,2880,cause I can't strain myself. 
88,2787,2874,7488,7575,2880,I can still do soft things
89,2787,2848,7575,7636,2880,"but I can't be in the country, "
90,2753,2819,7636,7702,2880,it hurts me. 
91,2809,2880,7741,7812,2880,"This is why us peasant women, "
92,2802,2862,7812,7872,2880,because we were illiterate
93,2825,2878,7872,7925,2880,they did what they wanted to us.
94,2802,2873,7925,7996,2880,But now we say that these things 
95,2783,2880,7996,8093,2880,that have damaged all the women in this area
96,2783,2871,8093,8181,2880,must not happen again. 
97,2151,2274,8199,8322,2880,"In Huarmaca everyone is bad, we are all bad. "
98,2782,2868,8355,8441,2880,The women feel awful.
99,2778,2880,8441,8543,2880,And we have this experience 
100,2765,2864,8543,8642,2880,and we won't allow other young women 
101,2721,2803,8642,8724,2880,"to go through it,"
102,2792,2857,8724,8789,2880,we won't allow this to happen again. 
103,2797,2843,8789,8835,2880,That is why 
104,2762,2880,8835,8953,2880,we are asking for women's rights. 
105,2762,2793,8953,8984,2880,Thank you. 
