id,in,out,start,end,duration,text
0,1320,1392,67,139,2880,"Yo soy Francisca Quispe Potenciano, "
1,1471,1524,218,271,2880,del caserio de Ulpamache.
2,1474,1590,315,431,2880,Que yo tambien fui afectada por el tiempo de la violencia de que
3,1590,1660,431,501,2880,hicieron las ligaduras. 
4,1590,1666,524,600,2880,"Las ligaduras cuando nos vinieron con enganos,"
5,1588,1624,617,653,2880,"nos insistieron, "
6,1622,1660,673,711,2880,nos enganaron que
7,1624,1686,749,811,2880,"que no podemos tener mas familia,"
8,1624,1659,811,846,2880,"que mucha familia,"
9,1665,1768,852,955,2880,que la familia no la vamos a poder mantener hasta mas alla.
10,1664,1751,967,1054,2880,"Y yo tenia, me ligaron a una de edad 25 anios"
11,1664,1711,1066,1113,2880,Y para eso nos dijeron que 
12,1711,1785,1113,1187,2880,'donde vas a dejar esa familia que tanto tienes?'
13,1711,1790,1198,1277,2880,Entonces dijeron que para eso ahora tenemos una ley
14,1711,1774,1285,1348,2880,"para que nos operen,"
15,1774,1834,1355,1415,2880,que aprovechemos que esa operacion es gratis.
16,1774,1852,1432,1510,2880,"Entonces nosotros, yo en el caso mio, dije que no,"
17,1774,1844,1526,1596,2880,"que nosotros aca en el campo es nuestro trabajo fuerte,"
18,1841,1896,1596,1651,2880,"que vivimos de nuestra chacra,"
19,1841,1882,1661,1702,2880,trabajamos en la lana.
20,1880,1951,1712,1783,2880,"Aca nosotros en el campo cargamos la lenia, "
21,1882,1934,1797,1849,2880,"de nuestra chacra con nuestra alforja y, "
22,1930,1977,1852,1899,2880,"y para eso no vamos a poder,"
23,1977,2015,1899,1937,2880,vamos a quedar mal. 
