id,in,out,start,end,duration,text
0,1930,1995,28,93,2880,Y nosotros quedamos a darnos el fallo
1,1931,1985,100,154,2880,"y fuimos a nuestra casa,"
2,1989,2050,170,231,2880,y los enfermeros nos andaban buscando
3,1992,2068,231,307,2880,donde estemos como si fueramos unos delincuentes.
4,1991,2016,345,370,2880,"Donde estemos, "
5,2016,2085,370,439,2880,"aunque sea nos dijeron que calladito de tu esposo,"
6,2019,2082,456,519,2880,que tu esposo querra que se llenen de hijos...
7,2017,2047,534,564,2880,tanta cosa.
8,2047,2103,564,620,2880,Y asi a nosotros nos han obligado.
9,2047,2100,628,681,2880,"Nos obligaron, como fuimos debiles"
10,2047,2118,690,761,2880,nos obligaron a hacernos esa ligadura.
11,2046,2098,784,836,2880,"Criollamente que hablamos nosotros en el campo, "
12,2098,2166,836,904,2880,"nos hicieron literalmente como unos animalitos, "
13,2097,2200,920,1023,2880,"Nos mandaron a nuestras casas sin dar un tratamiento de nada,"
14,2094,2126,1023,1055,2880,"de nada, para nada. "
15,2126,2197,1064,1135,2880,Ahora nos dejaron incapacitando
16,2128,2158,1145,1175,2880,nuestra media vida 
17,2158,2209,1175,1226,2880,ya ahorita no podemos hacer nada.
18,2158,2213,1239,1294,2880,Totalmente nos afectaron.
