id,in,out,start,end,duration,text
0,2158,2246,41,129,2880,"En este senor gobierno, este Fujimorismo lo que hizo,"
1,2159,2285,129,255,2880,"si tanto no nos ha querido ver las madres en el Peru,"
2,2159,2206,267,314,2880,"bastante gente en el Peru, "
3,2205,2279,330,404,2880,mejor nos hubiese dado de terminacion para no vivir en esta
4,2264,2312,419,467,2880,"en esta postura de este,"
5,2267,2301,481,515,2880,de este sufrimiento. 
6,2301,2335,530,564,2880,"Ahorita al mas alla, "
7,2301,2335,581,615,2880,como terminaremos? 
8,2293,2368,615,690,2880,Hasta mas arrastradas nos veremos las madres
9,2301,2375,697,771,2880,"por motivo de no poder, no poder trabajar."
10,2301,2378,829,906,2880,"Este maldito gobierno, lo que el hizo. Ahorita si el pide, "
11,2347,2391,919,963,2880,ahorita si pide el su
12,2347,2370,980,1003,2880,"su indulto, "
13,2370,2436,1020,1086,2880,por mi persona ojala que se seque ahi en la carcel.
14,2436,2508,1086,1158,2880,"Asi como nos dejo incapacitando a mucha gente aqui,"
15,2436,2465,1166,1195,2880,"mucha gente inocente,"
16,2465,2499,1195,1229,2880,"mucha gente analfabetos,"
17,2499,2561,1244,1306,2880,"que nos dejo, nos dejo invalidando."
18,2499,2580,1331,1412,2880,"Eso es mi testimonio que yo,"
19,2580,2685,1412,1517,2880,que yo les doy en este momento.  
