id,in,out,start,end,duration,text
0,1320,1412,67,159,2880,I am Francisca Quispe Pontenciano
1,1474,1539,221,286,2880,from the village of Ulpamache
2,1474,1533,445,504,2880,I'm from Ulpamache
3,1465,1590,504,629,2880,I was also affected by the time of violence
4,1590,1692,629,731,2880,when they were doing the operations to sterilize people. 
5,1590,1684,731,825,2880,The sterilizations came with tricks. 
6,1598,1659,825,886,2880,"They insisted, "
7,1624,1690,886,952,2880,they tricked us 
8,1624,1729,957,1062,2880,"by saying we were going to be OK, "
9,1624,1689,1062,1127,2880,"that we couldn't have any more family,"
10,1624,1678,1127,1181,2880, that our families were too big already
11,1665,1767,1181,1283,2880,and we wouldn't be able to support them in the future. 
12,1664,1744,1283,1363,2880, I was sterilized when I was 25 years of age. 
13,1660,1733,1363,1436,2880,"They said that, if I was only 25 now, "
14,1662,1721,1436,1495,2880,I could end up with more than a dozen children …
15,1664,1711,1495,1542,2880,And then they said
16,1711,1796,1542,1627,2880,'Where are you going to leave such a big family?'
17,1711,1798,1627,1714,2880,and they said that there was a new law
18,1711,1801,1714,1804,2880,that said that we had to have the operation. 
19,1794,1875,1804,1885,2880,"That we should take the opportunity, because the operation was free."
20,1794,1881,1885,1972,2880,"Then we … In my case I said no, "
21,1795,1866,1976,2047,2880,"because our work here in the countryside is hard,"
22,1863,1926,2047,2110,2880,"that we live from our fields,"
23,1861,1915,2110,2164,2880,we work with wool. 
24,1908,1985,2169,2246,2880,"Here in the countryside we carry wood,"
25,1902,1957,2246,2301,2880,"from our ranch in our saddlebag, "
26,1950,2044,2301,2395,2880,and we wouldn't be able to live like that anymore.
27,1930,2007,2395,2472,2880,Then the doctors said no
28,1930,1995,2472,2537,2880,"that it was just a simple cut, "
29,1930,2010,2537,2617,2880,"that it wouldn't affect us at all, "
30,1930,2030,2625,2725,2880,"and that's how they have convinced us, "
31,1930,1990,2725,2785,2880,"with tricks saying no, no and no. "
32,1930,1989,2785,2844,2880," Asking where we would leave those children in the future, "
33,1930,1967,2844,2881,2880,so many things.
34,1930,2012,2881,2963,2880,"And we said we would think about it, "
35,1918,1975,2963,3020,2880,we went home 
36,1989,2050,3020,3081,2880,"and the nurses kept looking for us,"
37,1992,2091,3081,3180,2880,"wherever we were, as if we were delinquents."
38,1991,2037,3184,3230,2880,Wherever we were.
39,2016,2102,3230,3316,2880,They even told us to do it without telling our husbands.
40,2019,2181,3316,3478,2880,"'Your husband won't accept, he probably wants you to be filled with children' ... "
41,2021,2047,3478,3504,2880,so many things. 
42,2047,2111,3504,3568,2880,And that's how they forced us.
43,2047,2109,3568,3630,2880,They forced us because we were weak
44,2047,2136,3630,3719,2880,they forced us to get sterilized
