id,in,out,start,end,duration,text
0,1388,1470,35,117,3000,I'm Santos Manchay Castillo from the village of Quilan 
1,1452,1514,117,179,3000,that belongs to the province of Huancabamba. 
2,1388,1523,196,331,3000,"I had the surgery in 1999, "
3,1388,1489,331,432,3000,when the sterilisation programme campaign came to the village. 
4,1388,1490,432,534,3000,I had the operation because I had 8 children already. 
5,1435,1573,634,772,3000,I went to the hospital 
6,1388,1497,772,881,3000,and the nurses would tell me that I had too many children. 
7,1388,1480,881,973,3000,"Because of that I had the operation, "
8,1388,1474,973,1059,3000,thinking that I would be fine. 
9,1388,1454,1059,1125,3000,But it didn't turn out like that. 
10,1388,1473,1125,1210,3000,All of the women who had the sterilisation operation 
11,1388,1450,1210,1272,3000,have ended up in a bad way. 
12,1388,1479,1272,1363,3000,"That's why we are here today in this meeting, "
13,1388,1457,1363,1432,3000,"thanks to the ladies who have come, "
14,1388,1524,1432,1568,3000,so we can learn and not be so embarrassed anymore. 
15,1388,1481,1568,1661,3000,"Here in Huancabamba we are not used to speaking like this, "
16,1388,1421,1661,1694,3000,to chatting. 
17,1388,1543,1694,1849,3000,That's why we are grateful that the ladies have come to teach us.
18,1388,1543,1873,2028,3000,We can say that it did not turn out well. 
19,1388,1484,2028,2124,3000,We are all ill. 
20,1388,1486,2124,2222,3000,That's why we are asking for some help. 
21,1388,1510,2222,2344,3000,"Maybe one day there could be a medicine, "
22,1396,1569,2344,2517,3000,or some help to support until the time comes for God to take us. 
23,1388,1614,2602,2828,3000,We are at this meeting so we can move forward. 
24,1448,1633,2882,3067,3000,"I had the operation, they made me have the operation, "
25,1380,1426,3067,3113,3000,and I had it. 
26,1388,1477,3113,3202,3000,"Now we are not well, "
27,1388,1468,3202,3282,3000,we are ill. 
28,1388,1605,3299,3516,3000,Every sickness affects us. 
29,1388,1630,3564,3806,3000,We are asking for some help. 
30,1388,1630,3893,4135,3000,We want medicine or something else that could help us. 
31,1388,1452,4135,4199,3000,Thank you.
