id,in,out,start,end,duration,text
0,2762,2840,22,100,2880,"Yo soy Teodula Pusma Carrion,"
1,2762,2819,103,160,2880,vivo en el caserio de Nangali. 
2,2766,2849,175,258,2880,Tenia un ninito que estaba desnutrido
3,2761,2835,258,332,2880,"me fui para que nos daban alimentos, "
4,2823,2880,332,389,2880,me fui para que me den los alimentos 
5,2782,2816,389,423,2880,"entonces las enfermeras,"
6,2808,2880,423,495,2880,"las enfermeras de la posta de Nangali,"
7,2809,2831,495,517,2880,me dijeron
8,2766,2864,517,615,2880,'Ya le vamos a dar pero si es que se va hacer ligar
9,2785,2865,615,695,2880,y sino ya no le vamos a dar alimentos porque
10,2829,2880,695,746,2880,"estan llenandose de hijos,"
11,2822,2858,746,782,2880,como las conejas
12,2835,2880,782,827,2880, y no quieren hacerse ligar.'
13,2831,2873,835,877,2880,"Me fui a Huancabamba, "
14,2792,2870,884,962,2880,"y llegue al hospital y ya yo habia sido la ultima,"
15,2809,2874,962,1027,2880,ya llegue un poco medio tarde y
16,2779,2880,1034,1135,2880,"En un lado estaba un senor que estaba haciendose la vasectomia,"
17,2779,2816,1135,1172,2880,era de Huambanaca.
18,2813,2838,1178,1203,2880, Y yo
19,2821,2878,1203,1260,2880,"ya llegue, el senor ya estaba desnudo,"
20,2819,2878,1260,1319,2880,"entonces me dijeron 'pase senora, usted se va a hacer ligar?'"
21,2821,2835,1319,1333,2880,'Si'
22,2809,2872,1333,1396,2880,"'Sacase ya',  me sacaron la ropa "
23,2788,2878,1396,1486,2880,y me daba verguenza del senor porque el senor estaba desnudo
24,2791,2825,1486,1520,2880,y yo ya no queria
25,2816,2880,1520,1584,2880,"entonces dijeron 'Rapido senora, digo rapido'."
26,2822,2858,1584,1620,2880,Me subieron a la cama
27,2829,2876,1620,1667,2880,"y entonces me agarraron entre 4,"
28,2802,2863,1667,1728,2880,2 me agarraron de las manos y 2 debajo de los pies
29,2856,2880,1728,1752,2880,para ponerme la ampolla
30,2807,2836,1752,1781,2880,y ahi ya no me acuerdo.    
