id,in,out,start,end,duration,text
0,2827,2880,35,88,2880,"Ya me daba ganas de vomitar,"
1,2832,2864,88,120,2880,"me dolia la cabeza, "
2,2835,2880,120,165,2880,"no se que me pasaba,"
3,2843,2872,168,197,2880,"entonces ya,"
4,2813,2880,197,264,2880,senti que ya estaba pues ligada.
5,2813,2863,264,314,2880,"me dolia la barriga, yo me tanteaba la barriga, "
6,2834,2879,314,359,2880,pero a la cuenta no tenia lengua para hablar.
7,2792,2830,363,401,2880,Yo decia 'que habre hecho?
8,2830,2873,401,444,2880,"estare en la carcel, estare en el hospital?'"
9,2784,2819,444,479,2880,No me acordaba.
10,2798,2842,481,525,2880,De buen rato yo ya me acorde
11,2842,2874,525,557,2880,y me daba ganas de vomitar
12,2790,2852,557,619,2880,y fue una enfermera 'Que cosa le pasa senora?
13,2817,2880,619,682,2880,"No me vaya, no vaya a ensuciar por ahi'"
14,2821,2855,690,724,2880,"Ya pues me dolia feisimo,"
15,2847,2871,724,748,2880,yo gritaba
16,2816,2880,748,812,2880,e iban a cada rato y nos agarraban de la cara
17,2793,2843,816,866,2880,"'senora por favor callese la boca,"
18,2843,2880,866,903,2880,senora callese la boca'. 
19,2788,2858,909,979,2880,"Al siguiente dia ya, a las 6 de la manana "
20,2788,2843,982,1037,2880,"que estaban esa gente que lloraba,"
21,2825,2879,1037,1091,2880,"unas mujeres para arriba otras para abajo, "
22,2806,2852,1091,1137,2880,hartas habian ahi que lloraban.
23,2803,2834,1141,1172,2880,"Yo ya me habia dado cuenta, dije"
24,2813,2880,1172,1239,2880,"'a estas las han ligado, segurito por eso estan asi'"
25,2827,2861,1239,1273,2880,porque unas senoras lloraban.
26,2805,2863,1278,1336,2880,"Ya de buen ratito vuelta llego el doctor,"
27,2804,2835,1336,1367,2880,"nos puso una ampolla,"
28,2820,2861,1367,1408,2880,"ya no nos pregunto que cosa teniamos,"
29,2824,2855,1408,1439,2880,nos puso una ampolla y dijo
30,2795,2875,1439,1519,2880,"'Ya, de aqui estan de alta ya se van a ir a su casa.'"
31,2806,2832,1519,1545,2880,"Entonces yo,"
32,2827,2877,1548,1598,2880,"las mujeres saliamos, no solamente yo,"
33,2794,2880,1598,1684,2880,"las mujeres salian por un lado, por otro lado con la barriga agarrada ya. "
34,2797,2851,1689,1743,2880,"Ya no hubo ya movilidad para irse, "
35,2835,2871,1743,1779,2880,cada uno agarro su casa. 
36,2837,2880,1779,1822,2880,"No hubo ambulancia, no hubo nada."
