id,in,out,start,end,duration,text
0,1311,1390,26,105,2880,"Things aren't good now with my husband, "
1,1385,1419,105,139,2880,we just fight all the time.
2,1428,1497,139,208,2880,"I can't help him with any of the work in the fields, "
3,1492,1574,208,290,2880,I can't help him use anything heavy.  
4,1490,1602,290,402,2880,I don't want to be intimate with him anymore. 
5,1490,1560,402,472,2880,"I get dark patches in front of my eyes, "
6,1560,1628,472,540,2880,I want to throw up. 
7,1560,1598,540,578,2880,"I get dizzy,"
8,1598,1661,578,641,2880,my whole body hurts. 
9,1661,1705,641,685,2880,"I just can't do it,"
10,1660,1736,685,761,2880,I'm not that old yet but I can't do it anymore. 
11,1649,1725,761,837,2880,"I live on my own with my husband, we have fight after fight "
12,1725,1808,837,920,2880,"because when I was well, before I was sterilised, I helped him to do things,"
13,1725,1771,920,966,2880,"And now I can't do anything, "
14,1774,1828,966,1020,2880,I should have had my children instead
15,1828,1876,1020,1068,2880,"and then I'd be like a rabbit,"
16,1876,1914,1068,1106,2880,"like they said, "
17,1864,1920,1106,1162,2880,but I'd have my children 
18,1920,1978,1162,1220,2880,and I wouldn't be here on my own suffering. 
19,1928,1961,1220,1253,2880,"They tricked us,"
20,1961,2026,1253,1318,2880,"they told us they'd help us with medicines,"
21,1961,2041,1318,1398,2880,that we shouldn't feel bad because they would support us …
22,2041,2095,1398,1452,2880,"And now nothing, they've forgotten about us, "
23,2095,2137,1452,1494,2880,It's all been forgotten …
24,2095,2155,1494,1554,2880,"Now we are sick, "
25,2147,2199,1554,1606,2880,"all the women who were sterilised, "
26,2199,2227,1606,1634,2880,"all of us,"
27,2227,2292,1634,1699,2880,"but well, it has already been done."
28,2234,2296,1699,1761,2880,And that's all I wanted to say. 
29,2232,2345,1790,1903,2880,"And thanks for all of this, many thanks, thankyou very much.   "
