id,in,out,start,end,duration,text
0,1320,1382,35,97,2880,"Ya con mi esposo ya no vivimos bien,"
1,1382,1409,97,124,2880,"solo peleando nomas,"
2,1409,1430,124,145,2880,"ya no puedo,"
3,1439,1490,145,196,2880,"no puedo ayudarlo a trabajar,"
4,1490,1570,196,276,2880,"a la chacra, a alzar una cosa pesada."
5,1490,1543,287,340,2880,Ya no quiero tener relaciones
6,1543,1596,340,393,2880,"con mi esposo,"
7,1490,1553,402,465,2880,"tengo oscurecimiento de las vistas,"
8,1560,1623,472,535,2880,me da ganas de vomitar.
9,1560,1604,540,584,2880,"Uy tengo mareos, tengo"
10,1611,1658,591,638,2880,bastantes cosas que me duelen.
11,1658,1698,638,678,2880,"Ya no, todavía"
12,1660,1735,691,766,2880,"no estoy mayorcita, pero ya no puedo hacer las cosas ya."
13,1654,1715,766,827,2880,"Asi que vivimos solo con mi esposo, pelea y pelea"
14,1715,1750,827,862,2880,"porque antes cuando yo estaba buena,"
15,1750,1770,862,882,2880,"no me hacia ligar,"
16,1770,1802,882,914,2880,yo lo acompanaba.
17,1725,1773,917,965,2880,"Ya ahorita yo no puedo hacer nada,"
18,1773,1828,965,1020,2880,"mejor hubiese tenido mis hijos mejor,"
19,1832,1876,1024,1068,2880,"y ahi estuviera aunque sea como coneja,"
20,1876,1914,1068,1106,2880,"como ellos mismos dijeron como coneja,"
21,1914,1969,1106,1161,2880,mejor ahi estuviera con mis hijos
22,1919,1969,1161,1211,2880,y no estuviera solita.
23,1928,1955,1220,1247,2880,"Ellos nos enganaron, "
24,1955,2026,1247,1318,2880,"nos dijeron 'las vamos a apoyar con medicina, "
25,1966,2041,1323,1398,2880,ustedes no se sientan mal porque nosotros si las vamos a apoyar.'
26,2041,2083,1398,1440,2880,"Ahorita nada, se han olvidado de nosotros, "
27,2083,2138,1440,1495,2880,todos se han echado al olvido
28,2096,2155,1495,1554,2880,"Nosotros ahorita enfermas,"
29,2153,2199,1560,1606,2880,"las mujeres que nos hemos hecho ligar,"
30,2199,2220,1606,1627,2880,"todas, pero"
31,2234,2286,1641,1693,2880,ya pues ya esta ya.
32,2234,2288,1699,1753,2880,"Eso es todo lo que queria decir, "
33,2232,2273,1790,1831,2880,"y gracias por todo esto,"
34,2273,2336,1831,1894,2880,"muchas gracias, les agradezco mucho."
