id,in,out,start,end,duration,text
0,2762,2840,105,183,2880,"I am Teodula Pusma Carrion,"
1,2762,2819,186,243,2880,I live in the village of Nangali.
2,2749,2880,248,379,2880,"One of my children was malnourished, "
3,2746,2880,379,513,2880,"so I went to the medical centre to get food,"
4,2746,2813,513,580,2880,"because back then they gave us food, "
5,2746,2806,580,640,2880,it was called PANFAR. 
6,2746,2810,640,704,2880,So I decided to go 
7,2746,2804,704,762,2880,"because my son was malnourished, "
8,2782,2816,762,796,2880,"then the nurses,"
9,2808,2877,796,865,2880,"the nurses from Nangali's medical centre, "
10,2806,2831,865,890,2880,said to me:
11,2766,2877,890,1001,2880,'We will give you the food but only if you go and get yourself sterilised.
12,2798,2856,1001,1059,2880,If you don't we won't give you any food 
13,2820,2880,1059,1119,2880,"because you all have too many children,"
14,2822,2862,1119,1159,2880,"You're like rabbits, "
15,2831,2870,1159,1198,2880,and don't want to be sterilised. 
16,2831,2868,1198,1235,2880,If you get yourself sterilised
17,2828,2865,1235,1272,2880,"We'll keep giving you the food,"
18,2831,2847,1272,1288,2880,but otherwise not. 
19,2831,2863,1288,1320,2880,So I booked that slot
20,2819,2880,1320,1381,2880," I went to Huancabamba, "
21,2817,2880,1381,1444,2880,I walked there. 
22,2830,2875,1444,1489,2880,And I got to the hospital 
23,2819,2874,1489,1544,2880,"and I was the last one there, "
24,2224,2280,1544,1600,2880,"I got there a bit late, "
25,2233,2335,1624,1726,2880,"so I left my son, "
26,2233,2286,1726,1779,2880,"who was 6 months old, "
27,2233,2280,1779,1826,2880,"I left him with another man, "
28,2233,2284,1826,1877,2880,because he was there with his wife 
29,2233,2284,1877,1928,2880,who had just been sterilised . 
30,2233,2284,1928,1979,2880,So I left my son with him 
31,2233,2317,1979,2063,2880,so he could look after him 
32,2233,2265,2063,2095,2880,and I went inside. 
33,2233,2284,2095,2146,2880,I was the last one there. 
34,2795,2880,2146,2231,2880,"On one side there was a man who was getting a vasectomy,"
35,2779,2818,2231,2270,2880,he was from Huambanaca.
36,2799,2880,2270,2351,2880,and he was already naked. 
37,2814,2878,2351,2415,2880,They said: 'Come in. Are you here to be sterilised?'
38,2821,2841,2415,2435,2880, 'Yes'. 
39,2785,2880,2435,2530,2880,They took off my clothes 
40,2782,2879,2530,2627,2880,"and I felt embarrassed with the man there, because he was naked,"
41,2810,2854,2627,2671,2880,and I didn't want to do it anymore. 
42,2822,2875,2671,2724,2880,"'Come on, hurry up!', they said, "
43,2848,2877,2724,2753,2880,They put me on the bed 
44,2827,2880,2753,2806,2880,and four of them held me down. 
45,2821,2880,2806,2865,2880,"Two held my arms down and two held my legs, "
46,2819,2844,2865,2890,2880,"so they could give me the injection, "
47,2811,2838,2890,2917,2880,and I don't remember any more.  
48,2808,2841,2917,2950,2880,At midnight
49,2812,2880,2950,3018,2880,"I wanted to throw up, "
50,2827,2864,3018,3055,2880,"I had a headache,"
51,2821,2880,3055,3114,2880,I didn't know what was happening to me.
52,2725,2880,3114,3269,2880,I realised I'd been sterilised. 
53,2819,2872,3269,3322,2880,"My tummy hurt, I felt my tummy "
54,2841,2880,3322,3361,2880,but I couldn't get any words out. 
55,2841,2874,3361,3394,2880,"I just looked, "
56,2820,2880,3394,3454,2880,looked with the light that came to my eyes 
57,2821,2880,3454,3513,2880,in a very small bed. 
58,2826,2880,3513,3567,2880,"I was cold,"
59,2802,2830,3567,3595,2880,"I wondered, 'What have I done? "
60,2830,2879,3595,3644,2880,Am I in prison? Am I in hospital?'
61,2790,2821,3644,3675,2880,"I couldn't remember, "
62,2798,2845,3675,3722,2880,after a while I remembered 
63,2838,2880,3722,3764,2880,and I wanted to throw up
64,2790,2866,3764,3840,2880,"and a nurse came and said, 'What's wrong with you? "
65,2764,2880,3840,3956,2880,Don't make a mess in that bed'. 
66,2730,2854,3977,4101,2880,And she gave me a potty or something
67,2757,2865,4101,4209,2880,"and said 'use this, make sure you do it here.'"
68,2813,2850,4209,4246,2880,I felt awful. 
69,2847,2874,4246,4273,2880,I was screaming 
70,2810,2873,4273,4336,2880,and every now and then they came and held our faces 
71,2787,2880,4336,4429,2880,"and said 'shut up, just shut up!' "
72,2788,2880,4429,4521,2880,The next day at 6am 
73,2807,2860,4521,4574,2880,"everyone was crying, "
74,2823,2880,4574,4631,2880,"women crying here and women crying there, "
75,2822,2869,4631,4678,2880,so many of them crying. 
76,2813,2880,4678,4745,2880,"I had already realised that they'd been sterilised, "
77,2806,2862,4745,4801,2880,That's why they were crying. 
78,2806,2853,4816,4863,2880,The nurse was annoyed 
79,2797,2874,4863,4940,2880,and said 'get up now and wash your face.  
80,2806,2834,4940,4968,2880, The doctor's coming 
81,2780,2821,4968,5009,2880,and he's going to see you with a dirty face.  
82,2806,2841,5009,5044,2880,"You're going home already, "
83,2806,2854,5044,5092,2880,"you can't stay here, "
84,2806,2865,5092,5151,2880,so get up and wash your face 
85,2806,2876,5151,5221,2880,"and then you'll go home, "
86,2806,2850,5221,5265,2880,You'll be discharged.' 
87,2801,2857,5265,5321,2880,A bit later the doctor came  
88,2804,2835,5321,5352,2880,and gave us an injection.
89,2820,2867,5352,5399,2880,"He didn't ask what was wrong with us, "
90,2824,2864,5399,5439,2880,he just gave us the injection and said 
91,2807,2873,5439,5505,2880,'you're discharged and you have to go home.' 
92,2765,2875,5505,5615,2880,"So I went out of the hospital with my tummy, "
93,2746,2880,5615,5749,2880,"all of the women went out, not just me, all of us holding onto our tummies. "
94,2772,2819,5749,5796,2880,"We couldn't walk, "
95,2759,2805,5796,5842,2880,we couldn't stand up straight. 
96,2759,2868,5842,5951,2880,I was crying as I came out of the hospital
97,2793,2857,5951,6015,2880,"There was no transport arranged for us, "
