id,in,out,start,end,duration,text
0,2711,2775,120,184,2880,"I woke up with tremendous pain, "
1,2775,2838,184,247,2880,the serum had come out from my arm.
2,2823,2880,247,304,2880,"Me with a tremendous pain, "
3,2760,2880,304,424,2880,"and then they took us out and told us that we had to go home."
4,2760,2857,424,521,2880,"As for me I had been 3 months pregnant,"
5,2719,2810,530,621,2880,I suffered with my little child there
6,2810,2863,621,674,2880,until 7 months.
7,2698,2746,674,722,2880,"I wasn’t well anymore,  "
8,2746,2799,722,775,2880,the belly was very swollen 
9,2740,2803,775,838,2880,and the doctor who was checking me told me
10,2743,2822,838,917,2880,it was better if I travelled to Piura
11,2822,2879,917,974,2880,because here they wouldn’t be able to…
12,2808,2880,974,1046,2880,"I went to say goodbye to my children,"
13,2805,2880,1046,1121,2880, I had 7 small children.
14,2764,2843,1121,1200,2880,They took me to my village of Rodeo Pampa
15,2805,2859,1200,1254,2880,to say goodbye and go to Piura.
16,2789,2880,1259,1350,2880,And then around 1 am 
17,2789,2880,1359,1450,2880,I woke up with a tremendous pain and
18,2822,2871,1482,1531,2880,I stood up 
19,2799,2880,1531,1612,2880,"and I dropped big gush of blood, "
20,2799,2832,1612,1645,2880, like a hemorrhage.
21,2799,2817,1645,1663,2880,And...
22,2790,2842,1674,1726,2880,"around 6, 7 am. "
23,2831,2875,1726,1770,2880,"I don’t remember much, "
24,2791,2880,1770,1859,2880,but the midwife had already made me give birth.
25,2791,2839,1859,1907,2880,"Well, my child he died, "
26,2839,2879,1907,1947,2880,I have been bad 
27,2801,2880,1947,2026,2880,and still am bad until now. 
