id,in,out,start,end,duration,text
0,2802,2880,132,210,2880,"That is why us, peasant women,"
1,2802,2862,210,270,2880,because we were illiterate
2,2825,2878,270,323,2880,they did what they wanted.
3,2802,2873,323,394,2880,But now we say that these things 
4,2783,2880,394,491,2880,that have damaged all the women of the districts
5,2783,2871,491,579,2880,shouldn’t happen again. 
6,2814,2880,592,658,2880,The women feel really bad.
7,2805,2880,673,748,2880,"And now we have an experience "
8,2765,2852,748,835,2880,to see the other young girls 
9,2709,2803,835,929,2880,so that they don’t allow this to happen again. 
10,2792,2880,929,1017,2880,And we don’t want these things to happen again. 
11,2797,2839,1017,1059,2880,That is why 
12,2762,2880,1071,1189,2880,we ask for women’s rights. 
13,2762,2793,1189,1220,2880,Thank you. 
