id,in,out,start,end,duration,text
0,1320,1392,113,185,2880,I am Francisca Quispe Pontenciano
1,1474,1524,267,317,2880,from the village of Ulpamache
2,1474,1590,361,477,2880,I was also affected by the time of violence
3,1590,1660,477,547,2880,when they were doing the ligations. 
4,1590,1660,570,640,2880,The ligations came with tricks.
5,1590,1624,665,699,2880,"They insisted, "
6,1624,1660,721,757,2880,they tricked us 
7,1624,1686,795,857,2880,"that we couldn’t have any more family,"
8,1624,1659,857,892,2880,that we had too much family 
9,1665,1765,898,998,2880,and we wouldn’t be able to support it in the future. 
10,1664,1745,1013,1094,2880,I was ligated when I was 25 years of age.
11,1664,1711,1112,1159,2880,And then they said: 
12,1711,1782,1159,1230,2880,‘Where are you going to leave such a big family?’
13,1711,1790,1244,1323,2880,so they said that for that now there was a law
14,1711,1774,1331,1394,2880,for us to have surgery.
15,1774,1834,1401,1461,2880,That we should take advantage that the surgery was free. 
16,1774,1852,1478,1556,2880,"Then we… In my case I said no, "
17,1774,1842,1572,1640,2880,"because our work here in the countryside is hard,"
18,1842,1896,1643,1697,2880,"that we live from our fields,"
19,1841,1882,1707,1748,2880,we work with wool. 
20,1882,1951,1760,1829,2880,"Here in the countryside we carry wood,"
21,1882,1934,1843,1895,2880,"from our ranch with our saddlebag, "
22,1930,1989,1898,1957,2880,"and that we wouldn’t be able to do that anymore, "
23,1989,2015,1957,1983,2880,we would end up bad.
