id,in,out,start,end,duration,text
0,1930,1995,132,197,2880,"And we said we would think about it, "
1,1931,1985,204,258,2880,we went home 
2,1989,2047,274,332,2880,"and the nurses kept looking for us,"
3,1992,2064,335,407,2880,"wherever we were, as if we were delinquents."
4,1991,2016,449,474,2880,Wherever we were.
5,2016,2082,474,540,2880,They even said to do it without telling your husband.
6,2019,2082,560,623,2880,"‘Your husband probably wants you to be filled with children”... "
7,2019,2044,640,665,2880,so many things. 
8,2047,2101,668,722,2880,And that’s how they forced us.
9,2047,2100,732,785,2880,They forced us because we were weak
10,2047,2118,794,865,2880,they forced us to get that ligation.
11,2046,2098,888,940,2880,"As we speak in our land, "
12,2098,2165,940,1007,2880,they treated us like animals
13,2097,2198,1024,1125,2880,"They sent us home without treatment for nothing, "
14,2096,2126,1129,1159,2880,nothing at all.
15,2126,2197,1168,1239,2880,"Now they have left us incapacitated, "
16,2128,2158,1249,1279,2880,"with half a life,"
17,2158,2209,1279,1330,2880,we can’t do anything now.
18,2158,2213,1343,1398,2880,They totally affected us.
