id,in,out,start,end,duration,text
0,2711,2775,21,85,2880,"I woke up with tremendous pain, "
1,2775,2838,85,148,2880,the serum had come out from my arm.
2,2823,2880,148,205,2880,"Me with a tremendous pain, "
3,2760,2880,205,325,2880,"and then they took us out and told us that we had to go home."
4,2760,2857,325,422,2880,"As for me I had been 3 months pregnant,"
5,2719,2810,431,522,2880,I suffered with my little child there
6,2810,2863,522,575,2880,until 7 months.
7,2698,2746,575,623,2880,"I wasn’t well anymore,  "
8,2746,2799,623,676,2880,the belly was very swollen 
9,2740,2803,676,739,2880,and the doctor who was checking me told me
10,2743,2822,739,818,2880,it was better if I travelled to Piura
11,2822,2879,818,875,2880,because here they wouldn’t be able to…
12,2808,2880,875,947,2880,"I went to say goodbye to my children,"
13,2805,2880,947,1022,2880, I had 7 small children.
14,2764,2843,1022,1101,2880,They took me to my village of Rodeo Pampa
15,2805,2859,1101,1155,2880,to say goodbye and go to Piura.
16,2789,2880,1160,1251,2880,And then around 1 am 
17,2789,2880,1260,1351,2880,I woke up with a tremendous pain and
18,2822,2871,1383,1432,2880,I stood up 
19,2799,2880,1432,1513,2880,"and I dropped big gush of blood, "
20,2799,2832,1513,1546,2880, like a hemorrhage.
21,2799,2817,1546,1564,2880,And...
22,2790,2842,1575,1627,2880,"around 6, 7 am. "
23,2831,2875,1627,1671,2880,"I don’t remember much, "
24,2791,2880,1671,1760,2880,but the midwife had already made me give birth.
25,2791,2839,1760,1808,2880,"Well, my child he died, "
26,2839,2879,1808,1848,2880,I have been bad 
27,2801,2880,1848,1927,2880,and still am bad until now. 
