id,in,out,start,end,duration,text
0,2802,2880,30,108,2880,"That is why us, peasant women,"
1,2802,2862,108,168,2880,because we were illiterate
2,2825,2878,168,221,2880,they did what they wanted.
3,2802,2873,221,292,2880,But now we say that these things 
4,2783,2880,292,389,2880,that have damaged all the women of the districts
5,2783,2871,389,477,2880,shouldn’t happen again. 
6,2814,2880,490,556,2880,The women feel really bad.
7,2805,2880,571,646,2880,"And now we have an experience "
8,2765,2852,646,733,2880,to see the other young girls 
9,2709,2803,733,827,2880,so that they don’t allow this to happen again. 
10,2792,2880,827,915,2880,And we don’t want these things to happen again. 
11,2797,2839,915,957,2880,That is why 
12,2762,2880,969,1087,2880,we ask for women’s rights. 
13,2762,2793,1087,1118,2880,Thank you. 
