id,in,out,start,end,duration,text
0,1320,1392,67,139,2880,I am Francisca Quispe Pontenciano
1,1474,1524,221,271,2880,from the village of Ulpamache
2,1474,1590,315,431,2880,I was also affected by the time of violence
3,1590,1660,431,501,2880,when they were doing the ligations. 
4,1590,1660,524,594,2880,The ligations came with tricks.
5,1590,1624,619,653,2880,"They insisted, "
6,1624,1660,675,711,2880,they tricked us 
7,1624,1686,749,811,2880,"that we couldn’t have any more family,"
8,1624,1659,811,846,2880,that we had too much family 
9,1665,1765,852,952,2880,and we wouldn’t be able to support it in the future. 
10,1664,1745,967,1048,2880,I was ligated when I was 25 years of age.
11,1664,1711,1066,1113,2880,And then they said: 
12,1711,1782,1113,1184,2880,‘Where are you going to leave such a big family?’
13,1711,1790,1198,1277,2880,so they said that for that now there was a law
14,1711,1774,1285,1348,2880,for us to have surgery.
15,1774,1834,1355,1415,2880,That we should take advantage that the surgery was free. 
16,1774,1852,1432,1510,2880,"Then we… In my case I said no, "
17,1774,1842,1526,1594,2880,"because our work here in the countryside is hard,"
18,1842,1896,1597,1651,2880,"that we live from our fields,"
19,1841,1882,1661,1702,2880,we work with wool. 
20,1882,1951,1714,1783,2880,"Here in the countryside we carry wood,"
21,1882,1934,1797,1849,2880,"from our ranch with our saddlebag, "
22,1930,1989,1852,1911,2880,"and that we wouldn’t be able to do that anymore, "
23,1989,2015,1911,1937,2880,we would end up bad.
