id,in,out,start,end,duration,text
0,1930,1995,28,93,2880,"And we said we would think about it, "
1,1931,1985,100,154,2880,we went home 
2,1989,2047,170,228,2880,"and the nurses kept looking for us,"
3,1992,2064,231,303,2880,"wherever we were, as if we were delinquents."
4,1991,2016,345,370,2880,Wherever we were.
5,2016,2082,370,436,2880,They even said to do it without telling your husband.
6,2019,2082,456,519,2880,"‘Your husband probably wants you to be filled with children”... "
7,2019,2044,536,561,2880,so many things. 
8,2047,2101,564,618,2880,And that’s how they forced us.
9,2047,2100,628,681,2880,They forced us because we were weak
10,2047,2118,690,761,2880,they forced us to get that ligation.
11,2046,2098,784,836,2880,"As we speak in our land, "
12,2098,2165,836,903,2880,they treated us like animals
13,2097,2198,920,1021,2880,"They sent us home without treatment for nothing, "
14,2096,2126,1025,1055,2880,nothing at all.
15,2126,2197,1064,1135,2880,"Now they have left us incapacitated, "
16,2128,2158,1145,1175,2880,"with half a life,"
17,2158,2209,1175,1226,2880,we can’t do anything now.
18,2158,2213,1239,1294,2880,They totally affected us.
