id,in,out,start,end,duration,text
0,2158,2240,41,123,2880,"What this government, what Fujimorism did. "
1,2159,2285,129,255,2880,"If he did not want to see the Peruvian mothers,"
2,2159,2206,267,314,2880,many people in Peru.
3,2205,2279,330,404,2880," It would have been better that he terminated us,"
4,2264,2312,419,467,2880,so that we wouldn’t have to live in this situation 
5,2267,2301,481,515,2880,of suffering.
6,2301,2335,530,564,2880,How will we end up
7,2301,2335,581,615,2880,in the future?
8,2300,2364,622,686,2880,Us mothers will be even more dragged
9,2301,2370,697,766,2880,because we can’t work.
10,2301,2373,829,901,2880,"This damned government, what he did."
11,2347,2391,919,963,2880,Now if he is asking for...  
12,2347,2370,980,1003,2880,"for pardon,"
13,2370,2436,1020,1086,2880,as for me I hope he dries up in prison.
14,2436,2508,1086,1158,2880,"As he let so many people incapacitated here,"
15,2436,2465,1166,1195,2880,"many innocent people,"
16,2465,2499,1195,1229,2880,illiterate people. 
17,2499,2559,1244,1304,2880,He left us invalid.
18,2499,2685,1331,1517,2880,That is the testimony I give you now. 
