id,in,out,start,end,duration,text
0,2762,2840,22,100,2880,"I am Teodula Pusma Carrion,"
1,2762,2819,103,160,2880,I live in the village of Ñangali.
2,2766,2849,175,258,2880,"I had a little child who was malnourished, "
3,2761,2835,258,332,2880,"they used to give us food, "
4,2823,2880,332,389,2880,I went to get the food 
5,2782,2816,389,423,2880,"then the nurses,"
6,2808,2880,423,495,2880,"the nurses from Ñangali's medical centre, "
7,2809,2836,495,522,2880,said to me:
8,2771,2864,522,615,2880,"'Ok, we will give you but only if you get ligated,"
9,2785,2856,615,686,2880,if you don't we won't give you food 
10,2820,2880,686,746,2880,"because you have too many children,"
11,2822,2862,746,786,2880,"like rabbits, "
12,2839,2880,786,827,2880,and don’t want to get ligated.
13,2831,2873,835,877,2880, I went to Huancabamba 
14,2792,2880,884,972,2880,And when I got to the hospital I was the last one. 
15,2819,2874,972,1027,2880,I was a bit late
16,2779,2880,1034,1135,2880,"On one side there was a man who was getting a vasectomy,"
17,2779,2816,1135,1172,2880,he was from Huambanaca.
18,2813,2843,1178,1208,2880,And when I got there
19,2826,2878,1208,1260,2880,the man was already naked
20,2819,2878,1260,1319,2880,then they said: 'Come in ma'am. Are you getting the ligation?'
21,2821,2835,1319,1333,2880,'Yes'. 
22,2809,2872,1333,1396,2880,So they took off my clothes 
23,2788,2878,1396,1486,2880,"and I was embarrassed with the man, cause he was naked"
24,2791,2830,1486,1525,2880,and I didn’t want it anymore. 
25,2821,2880,1525,1584,2880,"So they said: 'Hurry ma'am, hurry!'"
26,2822,2858,1584,1620,2880,They put me in a bed 
27,2829,2880,1620,1671,2880,and then 4 people held me down. 
28,2806,2880,1671,1745,2880,2 grabbed my arms and 2 under my feet to put the injection
29,2800,2836,1745,1781,2880,and then I don’t remember anymore.
