id,in,out,start,end,duration,text
0,1320,1385,35,100,2880,"Now with my husband we no longer live well, "
1,1385,1419,100,134,2880,we just fight.
2,1428,1490,134,196,2880,"I can't help him work anymore,"
3,1490,1574,196,280,2880,"in the ranch, to use something heavy."
4,1490,1596,287,393,2880,I don't want to be intimate with my husband anymore
5,1490,1553,402,465,2880,"My sight gets dark,"
6,1560,1623,472,535,2880,I feel sick.
7,1560,1598,540,578,2880,"I get dizzy,"
8,1598,1661,578,641,2880,I have many pains.
9,1661,1698,641,678,2880,I can't... 
10,1660,1739,691,770,2880,I'm not that old yet but I can't do the things anymore.
11,1658,1725,770,837,2880,"So I live alone with my husband, fight after fight"
12,1725,1805,837,917,2880,"because before, when I was healthy, not ligated, I accompanied him."
13,1725,1774,917,966,2880,"Now I can't do anything, "
14,1774,1828,966,1020,2880,I should have had my children instead
15,1828,1876,1020,1068,2880,"and then I'd be like a rabbit,"
16,1876,1926,1068,1118,2880,"like they said, like a rabbit "
17,1876,1928,1118,1170,2880,but I'd be better with my children 
18,1928,1972,1170,1214,2880,and I wouldn't be alone.
19,1928,1961,1220,1253,2880,"They tricked us,"
20,1961,2026,1253,1318,2880,they told us they'd help us with medicines
21,1966,2041,1323,1398,2880,'Don't feel bad because we are going to support you'
22,2041,2095,1398,1452,2880,"And now nothing, they have forgotten us"
23,2095,2137,1452,1494,2880, We've all been cast to oblivion.
24,2095,2155,1494,1554,2880,"Now we are sick, "
25,2153,2199,1560,1606,2880,"all the women who were ligated, "
26,2199,2220,1606,1627,2880,"all of us,"
27,2234,2286,1641,1693,2880,but well it is already done.
28,2234,2288,1699,1753,2880,And that is all I wanted to say. 
29,2232,2336,1790,1894,2880,"And thanks for this, many thanks, I really thank you.   "
